13500000,3,3,4,панельный,1970,54,10,43.2284143,76.9196505,3
12500000,2,4,4,кирпичный,1962,42,19,43.2543077,76.9317271,2
34000000,2,7,9,монолитный,2005,78,7,43.2125326,76.8648893,5
15200000,3,2,4,панельный,1970,59,10,43.2284143,76.9196505,3
21799790,3,2,4,панельный,1976,60,23,43.3048317,76.92253199999999,2
19499680,3,4,5,монолитный,2005,79,31,43.2319306,76.8475912,4
16000000,3,2,4,панельный,1968,61,13,43.2515682,76.8696775,3
19000000,4,1,5,панельный,1979,75,9,43.2294291,76.9248458,3
31000000,4,7,8,панельный,1975,92,8,43.23153509999999,76.8861913,2
46565000,3,6,12,монолитный,2017,101,31,43.2251299,76.8504744,2
3800000,1,4,4,панельный,1970,14,14,43.2352025,76.8946414,3
45000000,3,12,19,монолитный,2008,110,34,43.2371101,76.84196229999999,2
11823840,1,7,19,монолитный,2016,41.4,23,43.3048317,76.92253199999999,3
15900000,3,5,5,кирпичный,2004,70,1,43.2285932,76.9505167,4
53000000,3,12,15,монолитный,2014,103,32,43.2139907,76.8496226,5
18000000,2,5,9,монолитный,2007,60,8,43.233241,76.887942,3
2300000,1,3,3,панельный,2014,20,13,43.2515682,76.8696775,5
18500000,2,2,5,панельный,1986,50,7,43.2101992,76.8715631,3
13000000,1,3,5,кирпичный,1991,36,7,43.2125326,76.8648893,3
13500000,2,4,4,панельный,1967,44,14,43.252013,76.900252,3
19000000,3,4,4,кирпичный,1970,65,12,43.23904659999999,76.8627271,3
25365000,3,7,9,монолитный,2017,89,23,43.3060711,76.92540369999999,3
92610000,4,6,7,монолитный,2015,130,9,43.2294291,76.9248458,5
16300000,2,5,5,панельный,1980,43,9,43.2294291,76.9248458,2
40000000,4,4,5,кирпичный,1978,110,9,43.2319858,76.9336429,2
15700000,2,4,4,кирпичный,1967,40,34,43.2357565,76.8407209,2
14500000,3,2,5,панельный,1974,60,5,43.19648,76.9059625,3
36000000,3,5,6,кирпичный,1992,102,14,43.2456244,76.9025596,2
16800000,3,2,5,панельный,1979,60,6,43.2055005,76.9016396,3
24000000,3,5,5,панельный,1980,60.9,24,43.3227791,76.91899819999999,2
8800000,1,2,5,панельный,1980,32.4,7,43.2070788,76.8842422,4
19000000,1,10,19,монолитный,2010,51.5,11,43.249859,76.90684600000002,2
25000000,3,2,5,кирпичный,1988,70,2,43.264532,76.95101799999999,3
13500000,2,4,4,панельный,1970,46,31,43.2251299,76.8504744,5
17000000,3,1,4,панельный,1963,58,1,43.2395042,76.9458228,3
27800000,2,4,16,монолитный,1980,80,6,43.2055005,76.9016396,2
48000000,3,6,10,монолитный,2016,127,17,43.2778111,76.8230815,2
12000000,1,4,4,монолитный,2013,46.9,1,43.2285932,76.9505167,4
21000000,1,8,9,монолитный,1994,39,13,43.2515682,76.8696775,5
18700000,4,1,5,панельный,1979,75,11,43.2624191,76.915196,3
10300000,1,3,5,панельный,1992,36,5,43.19648,76.9059625,3
17000000,2,3,5,панельный,1978,42.8,14,43.2396584,76.8989828,2
15650000,2,1,4,панельный,1978,51.4,14,43.2422832,76.9013135,2
20300000,3,3,5,панельный,1976,59,8,43.2314034,76.8857414,2
45895000,3,6,12,монолитный,2017,101,24,43.3227791,76.91899819999999,2
21000000,2,2,5,панельный,1987,61,14,43.2499688,76.8981962,4
18500000,3,5,5,панельный,1980,60,13,43.2515682,76.8696775,3
21000000,4,1,5,панельный,1980,77.4,33,43.2222484,76.8230395,3
22350000,3,4,9,панельный,1993,69,15,43.2247733,76.8627271,3
5300000,1,1,4,панельный,1972,18,33,43.2222484,76.8230395,3
23850000,3,4,9,панельный,1993,72,33,43.2222484,76.8230395,3
22850000,3,9,9,панельный,1990,80,7,43.2101992,76.8715631,3
17500000,2,2,5,панельный,1991,50,8,43.2283249,76.9014189,3
14500000,1,2,9,панельный,1985,40,6,43.2055005,76.9016396,3
21600000,1,10,10,монолитный,2016,55,32,43.2118217,76.8424292,2
13200000,1,2,9,монолитный,2005,45,34,43.2357565,76.8407209,3
10000000,1,5,5,панельный,1984,34,32,43.2123825,76.8508348,3
24350000,3,3,5,панельный,1993,60,33,43.2222484,76.8230395,3
28000000,4,2,9,панельный,1991,100,31,43.2251299,76.8504744,3
8900000,1,4,4,панельный,1963,32,13,43.2515682,76.8696775,3
14800000,3,2,5,панельный,1979,66,14,43.2396584,76.8989828,3
16800000,2,3,5,панельный,1980,48,6,43.20452119999999,76.90443789999999,2
15300000,2,4,5,панельный,1977,42.2,6,43.20452119999999,76.90443789999999,2
15300000,2,4,5,панельный,1977,42.2,33,43.2222484,76.8230395,2
12000000,1,7,9,панельный,1991,42,14,43.2396584,76.8989828,3
15650000,2,1,4,панельный,1978,51.4,8,43.224801,76.8922054,2
15800000,2,1,5,панельный,1975,43,14,43.2359586,76.89926109999999,2
27900000,2,13,14,монолитный,2016,65,14,43.2401591,76.8949279,2
14500000,1,6,9,кирпичный,1993,36,14,43.2422832,76.9013135,3
20300000,3,3,5,панельный,1976,59,5,43.19648,76.9059625,2
12100000,1,5,5,панельный,1976,32,2,43.2679641,76.950746,2
15300000,3,1,4,кирпичный,1970,56,14,43.2314424,76.89981230000001,3
30300000,3,3,5,кирпичный,1977,70,14,43.2485552,76.893574,2
43500000,3,12,18,монолитный,2007,110,9,43.2269652,76.9274014,2
17800000,2,2,4,панельный,1972,45,8,43.2357215,76.88111200000002,2
14300000,2,4,5,панельный,1975,45,8,43.2300099,76.8822577,2
15300000,2,3,5,панельный,1983,45,14,43.250174,76.8928837,2
45000000,3,4,18,монолитный,2007,110,5,43.19648,76.9059625,2
12100000,1,5,5,панельный,1976,32,8,43.2357215,76.88111200000002,2
11300000,1,5,5,панельный,1981,33.5,11,43.2624191,76.915196,2
10300000,1,3,4,панельный,1992,36,34,43.24259199999999,76.843131,3
10400000,1,1,5,панельный,1982,32,14,43.24536390000001,76.9001509,3
16500000,3,2,5,панельный,1976,58,11,43.26264889999999,76.9108029,3
13000000,2,3,4,кирпичный,1961,40.5,27,43.188099,76.833853,2
18500000,3,2,5,кирпичный,1989,65,9,43.2350038,76.9380189,5
43000000,3,4,17,монолитный,2006,90,14,43.2396584,76.8989828,2
16800000,2,3,5,панельный,1980,48,8,43.2357215,76.88111200000002,2
11300000,1,5,5,панельный,1981,33.5,6,43.20452119999999,76.90443789999999,2
15300000,2,4,5,панельный,1977,42.2,8,43.2301492,76.8877145,2
9000000,1,4,4,кирпичный,1963,30,31,43.2251299,76.8504744,2
11850000,2,4,4,панельный,1965,43,14,43.2447956,76.89131859999999,3
12600000,2,5,5,панельный,1979,42,8,43.224801,76.8922054,3
15800000,2,1,5,панельный,1975,43,1,43.237649,76.959822,2
69000000,4,5,14,кирпичный,2007,150,31,43.2319306,76.8475912,5
11500000,2,3,4,панельный,1968,45,2,43.2679641,76.950746,3
15300000,3,1,4,кирпичный,1970,56,8,43.21785759999999,76.8948259,3
32000000,3,10,16,монолитный,2016,80,31,43.2251299,76.8504744,2
9300000,1,4,4,панельный,1963,32,7,43.2168727,76.8806592,3
26700000,2,10,16,монолитный,2008,81,11,43.2624191,76.915196,3
10300000,1,3,4,панельный,1992,36,34,43.24259199999999,76.843131,3
10400000,1,1,5,панельный,1982,32,11,43.2624191,76.915196,3
10300000,1,3,5,панельный,1992,36,14,43.2396584,76.8989828,3
15650000,2,1,4,панельный,1978,51.4,31,43.2319306,76.8475912,2
16000000,3,2,4,панельный,1964,61,6,43.2055005,76.9016396,3
23000000,3,2,3,панельный,2000,70.1,7,43.2101992,76.8715631,2
31000000,2,8,14,монолитный,2017,70,33,43.2222484,76.8230395,3
12500000,1,5,9,панельный,1992,40,6,43.2055005,76.9016396,3
22500000,1,4,10,монолитный,2016,54,24,43.35574769999999,76.9254696,2
11500000,2,4,6,монолитный,2011,65,6,43.2055005,76.9016396,4
23400000,1,7,10,монолитный,2016,56,8,43.2314034,76.8857414,2
15500000,1,12,13,монолитный,2016,40,6,43.2055005,76.9016396,2
35900000,2,7,10,монолитный,2016,86,6,43.2055005,76.9016396,2
35900000,2,7,10,монолитный,2016,86,7,43.2101992,76.8715631,2
10350000,1,5,5,кирпичный,1980,34,14,43.250174,76.8928837,3
45000000,3,4,16,монолитный,2008,110,24,43.35574769999999,76.9254696,2
8200000,2,1,2,каркасно-камышитовый,1964,45,6,43.2055005,76.9016396,4
35900000,2,7,10,монолитный,2016,86,9,43.2401158,76.9324839,2
30500000,2,5,12,монолитный,2006,85,24,43.3227791,76.91899819999999,2
13000000,1,5,5,панельный,1986,42,24,43.3227791,76.91899819999999,4
21000000,3,1,5,панельный,1985,68,24,43.3227791,76.91899819999999,4
10500000,1,1,5,панельный,1987,30,24,43.3227791,76.91899819999999,4
11500000,1,1,5,панельный,1986,45.1,8,43.2314034,76.8857414,4
17000000,1,11,12,монолитный,2017,46,13,43.2515682,76.8696775,2
13000000,2,5,5,панельный,1982,45,10,43.2284143,76.9196505,3
21800000,3,1,4,панельный,1980,59.5,13,43.2515682,76.8696775,2
24000000,4,3,5,панельный,1980,77,13,43.24818579999999,76.87893609999999,3
20400000,3,4,5,панельный,1983,64,31,43.2319306,76.8475912,2
30500000,3,12,17,монолитный,2014,115,31,43.2251299,76.8504744,3
15300000,2,3,5,панельный,1988,54,15,43.23156760000001,76.8648893,3
17400000,2,7,9,монолитный,2005,60,15,43.22783829999999,76.8584028,3
17300000,2,8,9,панельный,1988,53,24,43.3227791,76.91899819999999,3
15000000,2,4,5,панельный,1983,52.4,31,43.2319306,76.8475912,4
16000000,2,1,9,панельный,1993,58,31,43.2319306,76.8475912,3
17500000,2,2,9,кирпичный,1990,54,31,43.2319306,76.8475912,3
17500000,2,2,9,кирпичный,1990,54,6,43.2055005,76.9016396,3
12500000,2,1,5,панельный,1980,42,15,43.2247733,76.8627271,2
15000000,2,4,5,панельный,1994,50,15,43.2247733,76.8627271,3
15000000,2,5,5,панельный,1992,53,2,43.2613192,76.9467069,3
24500000,3,2,5,панельный,1974,63,6,43.2055005,76.9016396,2
35900000,3,7,10,монолитный,2016,86,6,43.2055005,76.9016396,2
35900000,3,7,10,монолитный,2016,86,13,43.2515682,76.8696775,2
